name,age,country,year,Date_Given,sports,gold_medal,silver_medal,brone_medal,total_medal,New_name
Michael Phelps,23.0,United States,2008,2008-08-24,Swimming,8,0,0,8,Michael Phelps
Michael Phelps,19.0,United States,2004,2004-08-29,Swimming,6,0,2,8,Michael Phelps
Michael Phelps,27.0,United States,2012,2012-08-12,Swimming,4,2,0,6,Michael Phelps
Natalie Coughlin,25.0,United States,2008,2008-08-24,Swimming,1,2,3,6,Natalie Coughlin
Aleksey Nemov,24.0,Russia,2000,2000-10-01,Gymnastics,2,1,3,6,Aleksey Nemov
Alicia Coutts,24.0,Australia,2012,2012-08-12,Swimming,1,3,1,5,Alicia Coutts
Missy Franklin,17.0,United States,2012,2012-08-12,Swimming,4,0,1,5,Missy Franklin
Ryan Lochte,27.0,United States,2012,2012-08-12,Swimming,2,2,1,5,Ryan Lochte
Allison Schmitt,22.0,United States,2012,2012-08-12,Swimming,3,1,1,5,Allison Schmitt
Natalie Coughlin,21.0,United States,2004,2004-08-29,Swimming,2,2,1,5,Natalie Coughlin
Ian Thorpe,17.0,Australia,2000,2000-10-01,Swimming,3,2,0,5,Ian Thorpe
Dara Torres,33.0,United States,2000,2000-10-01,Swimming,2,0,3,5,Dara Torres
Cindy Klassen,26.0,Canada,2006,2006-02-26,Speed Skating,1,2,2,5,Cindy Klassen
Nastia Liukin,18.0,United States,2008,2008-08-24,Gymnastics,1,3,1,5,Nastia Liukin
Marit Bjørgen,29.0,Norway,2010,2010-02-28,Cross Country Skiing,3,1,1,5,Marit Bjorgen
Sun Yang,20.0,China,2012,2012-08-12,Swimming,2,1,1,4,Sun Yang
Kirsty Coventry,24.0,Zimbabwe,2008,2008-08-24,Swimming,1,3,0,4,Kirsty Coventry
Libby Lenton-Trickett,23.0,Australia,2008,2008-08-24,Swimming,2,1,1,4,Libby Lenton Trickett
Ryan Lochte,24.0,United States,2008,2008-08-24,Swimming,2,0,2,4,Ryan Lochte
Inge de Bruijn,30.0,Netherlands,2004,2004-08-29,Swimming,1,1,2,4,Inge de Bruijn
Petria Thomas,28.0,Australia,2004,2004-08-29,Swimming,3,1,0,4,Petria Thomas
Ian Thorpe,21.0,Australia,2004,2004-08-29,Swimming,2,1,1,4,Ian Thorpe
Inge de Bruijn,27.0,Netherlands,2000,2000-10-01,Swimming,3,1,0,4,Inge de Bruijn
Gary Hall Jr.,25.0,United States,2000,2000-10-01,Swimming,2,1,1,4,Gary Hall Jr 
Michael Klim,23.0,Australia,2000,2000-10-01,Swimming,2,2,0,4,Michael Klim
Susie O'Neill,27.0,Australia,2000,2000-10-01,Swimming,1,3,0,4,Susie O Neill
Jenny Thompson,27.0,United States,2000,2000-10-01,Swimming,3,0,1,4,Jenny Thompson
Pieter van den Hoogenband,22.0,Netherlands,2000,2000-10-01,Swimming,2,0,2,4,Pieter van den Hoogenband
An Hyeon-Su,20.0,South Korea,2006,2006-02-26,Short-Track Speed Skating,3,0,1,4,An Hyeon Su
Aliya Mustafina,17.0,Russia,2012,2012-08-12,Gymnastics,1,1,2,4,Aliya Mustafina
Shawn Johnson,16.0,United States,2008,2008-08-24,Gymnastics,1,3,0,4,Shawn Johnson
Dmitry Sautin,26.0,Russia,2000,2000-10-01,Diving,1,1,2,4,Dmitry Sautin
Leontien Zijlaard-van Moorsel,30.0,Netherlands,2000,2000-10-01,Cycling,3,1,0,4,Leontien Zijlaard van Moorsel
Petter Northug Jr.,24.0,Norway,2010,2010-02-28,Cross Country Skiing,2,1,1,4,Petter Northug Jr 
Ole Einar Bjørndalen,28.0,Norway,2002,2002-02-24,Biathlon,4,0,0,4,Ole Einar Bjorndalen
Janica Kostelic,20.0,Croatia,2002,2002-02-24,Alpine Skiing,3,1,0,4,Janica Kostelic
Nathan Adrian,23.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Nathan Adrian
Yannick Agnel,20.0,France,2012,2012-08-12,Swimming,2,1,0,3,Yannick Agnel
Brittany Elmslie,18.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Brittany Elmslie
Matt Grevers,27.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Matt Grevers
Ryosuke Irie,22.0,Japan,2012,2012-08-12,Swimming,0,2,1,3,Ryosuke Irie
Cullen Jones,28.0,United States,2012,2012-08-12,Swimming,1,2,0,3,Cullen Jones
Ranomi Kromowidjojo,21.0,Netherlands,2012,2012-08-12,Swimming,2,1,0,3,Ranomi Kromowidjojo
Camille Muffat,22.0,France,2012,2012-08-12,Swimming,1,1,1,3,Camille Muffat
Mel Schlanger,25.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Mel Schlanger
Emily Seebohm,20.0,Australia,2012,2012-08-12,Swimming,1,2,0,3,Emily Seebohm
Rebecca Soni,25.0,United States,2012,2012-08-12,Swimming,2,1,0,3,Rebecca Soni
Satomi Suzuki,21.0,Japan,2012,2012-08-12,Swimming,0,1,2,3,Satomi Suzuki
Dana Vollmer,24.0,United States,2012,2012-08-12,Swimming,3,0,0,3,Dana Vollmer
Alain Bernard,25.0,France,2008,2008-08-24,Swimming,1,1,1,3,Alain Bernard
László Cseh Jr.,22.0,Hungary,2008,2008-08-24,Swimming,0,3,0,3,Laszlo Cseh Jr 
Matt Grevers,23.0,United States,2008,2008-08-24,Swimming,2,1,0,3,Matt Grevers
Margaret Hoelzer,25.0,United States,2008,2008-08-24,Swimming,0,2,1,3,Margaret Hoelzer
Katie Hoff,19.0,United States,2008,2008-08-24,Swimming,0,1,2,3,Katie Hoff
Leisel Jones,22.0,Australia,2008,2008-08-24,Swimming,2,1,0,3,Leisel Jones
Kosuke Kitajima,25.0,Japan,2008,2008-08-24,Swimming,2,0,1,3,Kosuke Kitajima
Andrew Lauterstein,21.0,Australia,2008,2008-08-24,Swimming,0,1,2,3,Andrew Lauterstein
Jason Lezak,32.0,United States,2008,2008-08-24,Swimming,2,0,1,3,Jason Lezak
Pang Jiaying,23.0,China,2008,2008-08-24,Swimming,0,1,2,3,Pang Jiaying
Aaron Peirsol,25.0,United States,2008,2008-08-24,Swimming,2,1,0,3,Aaron Peirsol
Steph Rice,20.0,Australia,2008,2008-08-24,Swimming,3,0,0,3,Steph Rice
Jess Schipper,21.0,Australia,2008,2008-08-24,Swimming,1,0,2,3,Jess Schipper
Rebecca Soni,21.0,United States,2008,2008-08-24,Swimming,1,2,0,3,Rebecca Soni
Eamon Sullivan,22.0,Australia,2008,2008-08-24,Swimming,0,2,1,3,Eamon Sullivan
Dara Torres,41.0,United States,2008,2008-08-24,Swimming,0,3,0,3,Dara Torres
Amanda Beard,22.0,United States,2004,2004-08-29,Swimming,1,2,0,3,Amanda Beard
Antje Buschschulte,25.0,Germany,2004,2004-08-29,Swimming,0,0,3,3,Antje Buschschulte
Kirsty Coventry,20.0,Zimbabwe,2004,2004-08-29,Swimming,1,1,1,3,Kirsty Coventry
Ian Crocker,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Ian Crocker
Grant Hackett,24.0,Australia,2004,2004-08-29,Swimming,1,2,0,3,Grant Hackett
Brendan Hansen,22.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Brendan Hansen
Jodie Henry,20.0,Australia,2004,2004-08-29,Swimming,3,0,0,3,Jodie Henry
Otylia Jedrzejczak,20.0,Poland,2004,2004-08-29,Swimming,1,2,0,3,Otylia Jedrzejczak
Leisel Jones,18.0,Australia,2004,2004-08-29,Swimming,1,1,1,3,Leisel Jones
Kosuke Kitajima,21.0,Japan,2004,2004-08-29,Swimming,2,0,1,3,Kosuke Kitajima
Laure Manaudou,17.0,France,2004,2004-08-29,Swimming,1,1,1,3,Laure Manaudou
Aaron Peirsol,21.0,United States,2004,2004-08-29,Swimming,3,0,0,3,Aaron Peirsol
Kaitlin Sandeno,21.0,United States,2004,2004-08-29,Swimming,1,1,1,3,Kaitlin Sandeno
Roland Schoeman,24.0,South Africa,2004,2004-08-29,Swimming,1,1,1,3,Roland Schoeman
Pieter van den Hoogenband,26.0,Netherlands,2004,2004-08-29,Swimming,1,2,0,3,Pieter van den Hoogenband
Therese Alshammar,23.0,Sweden,2000,2000-10-01,Swimming,0,2,1,3,Therese Alshammar
Yana Klochkova,18.0,Ukraine,2000,2000-10-01,Swimming,2,1,0,3,Yana Klochkova
Lenny Krayzelburg,24.0,United States,2000,2000-10-01,Swimming,3,0,0,3,Lenny Krayzelburg
Massimiliano Rosolino,22.0,Italy,2000,2000-10-01,Swimming,1,1,1,3,Massimiliano Rosolino
Petria Thomas,25.0,Australia,2000,2000-10-01,Swimming,0,2,1,3,Petria Thomas
Matt Welsh,23.0,Australia,2000,2000-10-01,Swimming,0,2,1,3,Matt Welsh
